23-01-2015 00:27, right, 65, 51.4720647010981, -0.203118466599231
23-01-2015 00:27, left, 55, 51.4720647010981, -0.203118466599231
23-01-2015 08:32, right, 74, 51.4720496209333, -0.202989410937681
23-01-2015 08:32, left, 59, 51.4720496209333, -0.202989410937681
23-01-2015 20:36, right, 71, 51.4719695130615, -0.202962881719273
23-01-2015 20:36, left, 48, 51.4719695130615, -0.202962881719273
24-01-2015 09:08, right, 66, 51.4719702154425, -0.202963496960119, Only had 5 hours sleep. 
24-01-2015 09:08, left, 58, 51.4719702154425, -0.202963496960119, Only had 5 hours sleep. 
24-01-2015 14:16, right, 66, 51.4719752398744, -0.203143149159274
24-01-2015 14:16, left, 58, 51.4719752398744, -0.203143149159274
25-01-2015 11:27, right, 62, 51.4720834923639, -0.203095684953352
25-01-2015 11:27, left, 58, 51.4720834923639, -0.203095684953352
25-01-2015 20:48, right, 66, 51.4720076679303, -0.203216165529584
25-01-2015 20:48, left, 58, 51.4720076679303, -0.203216165529584
26-01-2015 09:01, right, 70, 51.4720712651472, -0.203099897839397
26-01-2015 09:01, left, 57, 51.4720712651472, -0.203099897839397
27-01-2015 08:33, right, 69, 51.4720218890711, -0.203090510400241
27-01-2015 08:33, left, 58, 51.4720218890711, -0.203090510400241
27-01-2015 10:51, right, 70, 51.4720218890711, -0.203090510400241
27-01-2015 10:51, left, 54, 51.4720218890711, -0.203090510400241
27-01-2015 18:16, right, 75, 51.4719312412156, -0.203082114888778
27-01-2015 18:16, left, 60, 51.4719312412156, -0.203082114888778
28-01-2015 08:46, right, 72, 51.4719126357524, -0.202908345550304
28-01-2015 08:46, left, 59, 51.4719126357524, -0.202908345550304
29-01-2015 08:31, right, 65, 51.4719644979088, -0.203098301315964
29-01-2015 08:31, left, 60, 51.4719644979088, -0.203098301315964
30-01-2015 08:17, right, 67, 51.4720688455602, -0.203277365114613
30-01-2015 08:17, left, 60, 51.4720688455602, -0.203277365114613
31-01-2015 08:25, right, 67, 51.4720221633915, -0.203223462284886
31-01-2015 08:25, left, 56, 51.4720221633915, -0.203223462284886
01-02-2015 09:33, right, 66, 51.471980665837, -0.203051423654588
01-02-2015 09:33, left, 57, 51.471980665837, -0.203051423654588
02-02-2015 08:15, right, 66, 51.4720410949174, -0.20322252548218
02-02-2015 08:15, left, 56, 51.4720410949174, -0.20322252548218
03-02-2015 08:23, right, 66, 51.4720496955414, -0.203165643854099
03-02-2015 08:23, left, 59, 51.4720496955414, -0.203165643854099
04-02-2015 07:41, right, 70, 51.4719189485553, -0.203303367693034
04-02-2015 07:41, left, 58, 51.4719189485553, -0.203303367693034
05-02-2015 08:08, right, 66, 51.4719478495014, -0.20310064403921
05-02-2015 08:08, left, 58, 51.4719478495014, -0.20310064403921
06-02-2015 08:30, right, 61, 51.4719338156762, -0.203060656786154
06-02-2015 08:30, left, 58, 51.4719338156762, -0.203060656786154
07-02-2015 09:12, right, 65, 51.4719503710143, -0.203124953001302
07-02-2015 09:12, left, 57, 51.4719503710143, -0.203124953001302
08-02-2015 09:48, right, 59, 51.4720059340745, -0.203177590866741
08-02-2015 09:48, left, 53, 51.4720059340745, -0.203177590866741
09-02-2015 08:57, right, 64, 51.4719893813898, -0.203174658372245
09-02-2015 08:57, left, 57, 51.4719893813898, -0.203174658372245
10-02-2015 20:39, right, 65, 51.5225966428517, -0.0855974316565954
11-02-2015 08:57, right, 65, 51.4720733881462, -0.203118191564638
12-02-2015 00:39, left, 56, 51.4720013734644, -0.203124402881216
12-02-2015 00:39, right, 68, 51.4720013734644, -0.203124402881216
13-02-2015 09:03, right, 68, 51.4720323129762, -0.203143325224618
13-02-2015 09:03, left, 57, 51.4720323129762, -0.203143325224618
14-02-2015 09:50, right, 67, 51.4720168134183, -0.203182260198621
14-02-2015 09:50, left, 55, 51.4720168134183, -0.203182260198621
16-02-2015 09:00, right, 70, 51.471934119807, -0.203189825325846
16-02-2015 09:00, left, 59, 51.471934119807, -0.203189825325846
17-02-2015 08:03, right, 59, 51.471948910441, -0.203113093338745
17-02-2015 08:03, left, 57, 51.471948910441, -0.203113093338745
18-02-2015 08:48, right, 62, 51.4720190001202, -0.202981449918656
18-02-2015 08:48, left, 56, 51.4720190001202, -0.202981449918656
19-02-2015 08:30, right, 69, 51.4719451884975, -0.202992624077803
19-02-2015 08:30, left, 56, 51.4719451884975, -0.202992624077803
20-02-2015 08:35, right, 67, 51.4719611908426, -0.203137876203568
20-02-2015 08:35, left, 59, 51.4719611908426, -0.203137876203568
21-02-2015 09:42, right, 64, 51.4719106111475, -0.203233857096718
21-02-2015 09:42, left, 54, 51.4719106111475, -0.203233857096718
22-02-2015 10:55, right, 71, 0.0, 0.0
22-02-2015 10:55, left, 56, 0.0, 0.0
23-02-2015 08:48, right, 63, 51.4719677291936, -0.203104627090388
23-02-2015 08:48, left, 54, 51.4719677291936, -0.203104627090388
24-02-2015 08:30, right, 62, 51.471967951777, -0.202974553688115
24-02-2015 08:30, left, 54, 51.471967951777, -0.202974553688115
26-02-2015 09:07, right, 60, 51.4720410933569, -0.203070746151363, Feeling sick. 
26-02-2015 09:07, left, 52, 51.4720410933569, -0.203070746151363, Feeling sick. 
27-02-2015 10:12, right, 66, 0.0, 0.0
27-02-2015 10:12, left, 58, 0.0, 0.0
28-02-2015 09:56, right, 62, 51.471980282618, -0.203058432509687
28-02-2015 09:56, left, 55, 51.471980282618, -0.203058432509687
01-03-2015 09:23, right, 62, 51.4719906222578, -0.203313038080777
01-03-2015 09:23, left, 55, 51.4719906222578, -0.203313038080777
